Sample,SBET(m2/g),SL(m2/g),VT(cm3/g),P(kPa),T(K),Mental center,Uptake
"Zn-DABCO(Chaemchuen et al., 2015)",1870,1902,0.69,100,298,Zn,1.866
"Ni-DABCO(Chaemchuen et al., 2015)",2120,2219,0.82,100,298,Ni,2.16
"Cu-DABCO(Chaemchuen et al., 2015)",1616,1678,0.7,100,298,Cu,1.5
"Co-DABCO(Chaemchuen et al., 2015)",2022,2095,0.75,100,298,Co,1.02
"Zn(bdc)(dmbipy)0.5(Liu et al., 2011)",306,426,0.16,100,273,Zn,2.59
,306,426,0.16,100,298,Zn,0.59
"Zn(ndc)( dmbipy) 0.5(Liu et al., 2011)",106,110,0.07,100,273,Zn,0.903
,106,110,0.07,100,298,Zn,0.432
"Zn(bdc)(bipy)0.5(Liu et al., 2011)",1070,1122,0.44,100,273,Zn,1.14
,1070,1122,0.44,100,298,Zn,0.318
"Zn(ndc)(bipy) 0.5(Liu et al., 2011)",180,207,0.09,100,273,Zn,1.295
,180,207,0.09,100,298,Zn,0.727
"JLU-Liu22(Wang et al., 2015)",1487,1863.48,0.6158,100,273,Cu,7.59
"Cu-TDPAH(Liu et al., 2014)",2171,2540,0.91,100,298,Cu,5.19
,2171,2540,0.91,10,298,Cu,0.904
,2171,2540,0.91,100,273,Cu,8.56
,2171,2540,0.91,10,273,Cu,2.26
"UTSA-49(Xiong et al., 2014)",710.5,1046.6,0.407,100,298,Zn,3.08
,710.5,1046.6,0.407,100,273,Zn,4.84
"UPG-1(Taddei et al., 2014)",410,514,0.2,100,195,Zr,4.98
"UiO-66(Zr100)(Lau et al., 2013)",1390,1644,0.7,100,273,Zr,2.2
"UiO-66(Ti32)(Lau et al., 2013)",1418,1703,0.78,100,273,Ti,2.5
"UiO-66(Ti44)(Lau et al., 2013)",1749,2088,0.94,100,273,Ti,3.6
"UiO-66(Ti56)(Lau et al., 2013)",1844,2200,1.18,100,273,Ti,3.9
"JLU-Liu1(Luo et al., 2013)",145,221,0.096,100,273,Cu,2.21
,145,221,0.096,100,283,Cu,1.945
,145,221,0.096,100,298,Cu,1.55
"[Cu2(ABTC)]3 (Lee et al., 2008)",2850,2980.2,1,100,273,Cu,0.875
,2850,2980.2,1,100,195,Cu,2.55
"[Cu2(ABTC)(DMF)2]3 (Lee et al., 2008)",1260,1666.37,0.48,100,273,Cu,0.44
,1260,1572.77,0.48,100,195,Cu,1.22
"[Zn2(ABTC)(DMF)2]3 (Lee et al., 2008)",1460,1813.18,0.53,100,273,Cu,0.47
,1460,1813.18,0.53,100,195,Cu,1.25
"Cu2(bdcppi)(DMF)2(Lee et al., 2008)",2300,2450,1.08,100,298,Cu,3.1
,2300,2450,1.08,100,195,Cu,20.3
,2300,2450,1.08,100,273,Cu,5.36
,2300,2450,1.08,100,298,Cu,3.6
,2300,2450,1.08,4600,298,Cu,17.1
"CAU-1(Si et al., 2011)",1268,1653.97,0.6514,100,273,Al,7.2
"Zn2(BTetB)(Bae et al., 2009)",1370,1817.98,0.6092,100,273,Zn,4.5
"Cu-BTTri-mmen(McDonald et al., 2011)",870,1005,0.3799,100,298,Cu,4.2
,870,1148,0.4125,15,298,Cu,2.38
"Co4(OH)2(p-CDC)3(Farha et al., 2009)",1080,1217.3,0.42,100,273,Co,3.7
"ELM-12 (Cu)(Kondo et al., 2009)",390,482.44,0.27,100,273,Cu,3.1
"ELM-22 (Co)(Kondo et al., 2009)",400,496.04,0.28,100,273,Co,1.82
"Cu2(bptb)(Wu et al., 2009)",1217,1583.17,0.625,100,273,Cu,2.8
"HKUST-1 (CuBTC)(Millward and Yaghi, 2005)",1781,2601.4,0.7413,3500,298,Cu,10.7
"IRMOF-1 (MOF-5)(Millward and Yaghi, 2005)",2833,3136.8,1.0513,3500,298,Zn,21.7
"IRMOF-3(Millward and Yaghi, 2005)",2160,2601.4,0.9213,3500,298,Zn,18.7
"IRMOF-6(Millward and Yaghi, 2005)",2516,2601.4,0.9863,3500,298,Zn,19.5
"IRMOF-11(Millward and Yaghi, 2005)",2096,2601.4,0.8553,3500,298,Zn,14.7
"MIL-53 (Al)(Bourrelly et al., 2005)",1300,1500,0.42,3000,304,Al,10.4
,1300,1500,0.42,2500,298,Al,6.8
"MOF-2(Millward and Yaghi, 2005)",345,2176.9,0.6463,3500,298,Zn,3.2
"MOF-74(Millward and Yaghi, 2005)",816,2601.4,0.6463,3500,298,Zn,10.4
"USO-2-Ni(Arstad et al., 2008)",1925,2601.4,0.74,2500,298,Ni,13.6
